,favorite_count_from,retweet_count_from,followers_count,rfr,rfr_weighted_fav,rfr_weighted_rt,favorite_count_about,retweet_count_about,polarity,polarity_agg,polarity_weighted_fav,polarity_weighted_rt,name,screen_name,industry,controversial
20,0.0003910781577041104,0.0,0.006474571926298276,0.005477249533434865,0.005575729896782805,0.005306584706556035,0.03946956155210235,0.007784445873045821,0.521784010445936,0.09651663411500659,0.09652160085546786,0.09651415076150487,Lionel Messi,Lionel_Messi,athlete,0
21,0.2787696658585985,0.10072476785816434,0.3819502407603257,0.044002628291865645,0.04302273522513765,0.04570076663038996,0.013486821599848521,0.08221294422366542,0.28247482584509526,0.0,0.0,0.0,Miley Cyrus,MileyCyrus,musician,1
22,0.02988802923272369,0.0281210140834241,0.008293865353826214,0.20585826668723822,0.1841805993464744,0.24342530257212933,0.11199695223351092,0.0033122287420374852,0.3166354892475795,0.08907966407578459,0.08914395086004329,0.08904752090018789,Draymond Green,Money23Green,athlete,1
23,0.05138477874545132,0.019131062789924377,0.3978291157076815,0.007017586486955747,0.0068755838889243085,0.007263674620523661,0.016135053460410807,0.12514292479548372,0.3010178801182246,0.09416925298445437,0.09417214179358231,0.0941678085896203,Oprah Winfrey,Oprah,celebrity,0
24,0.004840631110711909,0.008546021600488323,0.014105877920738696,0.028698170156460485,0.02369785033274626,0.03736364099797337,0.06944891721224243,0.002470387818108858,0.20433563888181075,0.0857171050334819,0.08572952488359106,0.08571089515026001,Rajon Rondo,RajonRondo,athlete,1
25,0.024404320046900657,0.016131719454855337,0.0029829888640648507,0.29323514472429146,0.2729126098302875,0.3284537586846306,0.028656239557484982,0.07012445172607146,0.13406800279825903,0.08297900799246638,0.08298068923662566,0.08297816737604932,Tristan Thompson,RealTristan13,athlete,1
26,0.024268020771225786,0.010359041186012026,0.031518508099266866,0.045010871266466974,0.0435062842644608,0.047618295442130996,0.029874185857260153,0.005847239850184694,0.34608870157655436,0.08526251967360203,0.08527052017116468,0.085258519451768,Ronda Rousey,RondaRousey,athlete,1
27,0.1710153749530299,0.10245872198496231,0.1146728522344762,0.09799804351291615,0.09197575294444056,0.10843457260706521,0.010166128071228181,0.23377331913758212,0.15902589616556861,0.41703887522534683,0.4170417571127318,0.4170374342913605,Steph Curry,StephenCurry30,athlete,0
28,0.08484266935404378,0.04549087334315434,0.7310128411262974,0.006645380023780841,0.006305097265828277,0.007235084366875686,0.0034193932902346156,0.1297541016894889,0.4050355830202776,0.27956302379037884,0.2795610618778435,0.2795640047400376,Ellen Degeneres,TheEllenShow,celebrity,0
29,0.02304041084674704,0.007032268795880907,0.11839018991663049,0.010794786712978087,0.010699248642336134,0.010960352595679384,0.0599889335000349,0.02187939708507477,0.4848578191144129,0.09380909759993412,0.0938672965389757,0.09377999832644068,Dwayne Johnson,TheRock,celebrity,0
30,0.05127871167465877,0.021503534107890594,0.057675910734746275,0.053345046360106896,0.051613537553241065,0.05634572223818982,0.05618439552191981,0.022028300941918266,0.33608485500087226,0.14053674392539084,0.14055169154887376,0.1405292701639961,Tiger Woods,TigerWoods,athlete,1
31,0.0010033904109998121,0.00804003932105526,0.0016404086965137626,0.06262520620392528,0.04273507336383014,0.09709447461796757,0.027078019778865835,3.750476203575797e-05,0.8206106392936376,0.08341380814510115,0.0834379658749829,0.0834017293615289,Kristen Stewart,_KrisJStewart,celebrity,1
32,0.01745257288294149,0.00961307341013014,0.1780001785921263,0.005579728973678954,0.005286337360726736,0.006088171744704233,0.04030321925908866,0.0013372630245102916,0.45825802203932253,0.08404765742398855,0.08405663370239914,0.08404316931501721,Ashton Kutcher,aplusk,celebrity,1
33,0.12749068551011286,0.04502992986346613,0.5422124058023459,0.013470812794626249,0.013216079407565333,0.013912261505060237,0.006158319302351207,0.11408983434387852,0.4045349532515896,0.3186416480166847,0.31863989603839776,0.3186425239999284,Britney Spears,britneyspears,musician,1
34,0.02659053728135908,0.030779978128670005,0.0800095132245784,0.025537114210045925,0.022181641762568247,0.031352091987111357,0.017534636452011844,0.0018658767366571182,0.022210280453866388,0.08165289554638129,0.08165328974063114,0.08165269845058384,Chelsea Handler,chelseahandler,celebrity,1
35,0.05336862358062331,0.012614112522689543,0.0002799628369127376,1.0,1.0,1.0,0.09398667746439522,0.003264796790168495,0.752189544844164,0.08351210120417245,0.08359792748684704,0.08346918835191787,Chloe Kim,chloekimsnow,athlete,0
36,0.1200802046897593,0.05339206345328562,0.26462013646907045,0.027853667272054027,0.02683594582318381,0.029617361565795478,0.007873827437856754,0.038535279018745025,0.23884470761626364,0.10101755552525218,0.10101503706475141,0.10101881474701956,Chris Brown,chrisbrown,musician,1
37,0.034507206188149626,0.018744297698907883,0.23495105917545656,0.008741085800437552,0.008285446138363324,0.009530701734045618,0.03167672000060955,0.012969868971817561,0.3462118094712845,0.10111304023831871,0.10111747633173214,0.1011108222065535,Coldplay,coldplay,musician,0
38,0.2301878751406851,0.10884512584836187,0.18878455522777163,0.07695852848578627,0.07374820820969288,0.0825219599712029,0.04861515632296749,0.037500015930153126,0.6273597201288675,0.11094434697924213,0.11098243190585877,0.11092530464421221,Ed Sheeran,edsheeran,musician,0
39,0.005261847101883443,0.03986625779373541,0.008185672341216425,0.1153198251347242,0.07513461522560118,0.18496012355646005,1.0,0.0003966230224161984,0.7215586383122545,0.08554806582295499,0.08592130628435016,0.08536144684941817,Hope Solo,hopesolo,athlete,1
40,0.004254140362967575,0.0045982828304173134,0.054944103767335384,0.005476448162072748,0.004807845323559591,0.0066351257278979186,0.027761313798084965,0.004368244603741385,0.4690619317620573,0.08414453575287362,0.08414854193985545,0.08414253267287623,Jason Mraz,jason_mraz,musician,0
41,0.023140577391450333,0.015778968199623662,0.479003660369378,0.002361177767296276,0.0021728652135126814,0.0026875202816617734,0.016598154519104007,0.033938526758409235,0.5112865439837389,0.17396595995746839,0.1739693906341972,0.17396424463065877,Jimmy Fallon,jimmyfallon,celebrity,0
42,0.056624005198168806,0.05371415525991739,0.11216229255429273,0.036837234054889784,0.03285055216502211,0.043746087266077975,0.029855429494634954,0.5013466891243279,0.35335961871925486,0.09184637082898835,0.09184895976873678,0.09184507636783401,John Legend,johnlegend,musician,0
43,1.0,1.0,1.0,0.07637460210129941,0.06765447143510624,0.09148644308069324,0.003317304294799712,1.0,0.3138064759868757,0.4692369427069013,0.46923630603412103,0.46923726104114655,Justin Bieber,justinbieber,musician,1
44,0.018171307305190326,0.01713744895223358,0.00016554185752315278,0.46284498031823723,0.41451760228134255,0.5465955202815828,0.042130065599066624,0.006300709146087524,0.3772370000073309,0.09441849995701934,0.09441434683166433,0.09442057650570787,Kristaps Porzingis,kporzee,athlete,0
45,0.0012123277724159643,0.0003331200769933978,0.032513806082192676,0.0021211292822092827,0.002146064896699377,0.002077916278262146,0.22555228623215584,0.0,0.37078980240743026,0.08330216093713545,0.08337977625932938,0.08326335353746477,Lance Armstrong,lancearmstrong,athlete,1
46,0.009332097559900521,0.005080687016482963,0.08552128345025535,0.006402774216639792,0.006080280256487706,0.006961650869890777,0.05953656937581806,0.005010262964224459,0.11146876654045104,0.071175716701354,0.07116885320142634,0.07117914842819975,Lindsay Lohan,lindsaylohan,celebrity,1
47,0.01579599546487836,0.007977024945808231,0.007192752542724596,0.10551643561755641,0.10067165520054999,0.11391235926187998,0.20276844698686766,5.316318604080167e-05,0.5370199332362252,0.083702233641545,0.08375787751298532,0.08367441189324615,Lindsey Vonn,lindseyvonn,athlete,0
