981622107007266816,2018-04-04 19:58:42,0,35,RT Simply incredible WrestleMania WWENetwork,0.9,TheRock,celebrity
981622073801011200,2018-04-04 19:58:34,0,2,RT TheRock,0.0,TheRock,celebrity
981622053420847104,2018-04-04 19:58:29,0,546,RT If you had asked me a year ago to guess which video game would be made into a movie next my last guess would have been Ram,-0.13333333333333333,TheRock,celebrity
981622053009797126,2018-04-04 19:58:29,0,546,RT If you had asked me a year ago to guess which video game would be made into a movie next my last guess would have been Ram,-0.13333333333333333,TheRock,celebrity
981622042725441536,2018-04-04 19:58:27,1,0,When The rock likes my comment Not going to lie i nearly wet myself out of pure excitement BFF respect,0.057142857142857134,TheRock,celebrity
981622019493154816,2018-04-04 19:58:21,0,9701,RT and The Pebble,0.0,TheRock,celebrity
981621984688836608,2018-04-04 19:58:13,0,0,I don t read celebrity profiles articles But this was definitely worth reading I feel I ve,0.3,TheRock,celebrity
981621942276018177,2018-04-04 19:58:03,0,609,RT s new movie has a big gorilla but this little gorilla can do a lot to save real gorillas Get yours at https,0.03721590909090909,TheRock,celebrity
981621940942135296,2018-04-04 19:58:03,0,0,any thought on my original tweet brother God bless,0.375,TheRock,celebrity
981621929747599365,2018-04-04 19:58:00,0,874,RT First look at my new cover This one means a lot to me as I ve come full circle We re all in the same game jus,0.06727272727272726,TheRock,celebrity
981621911934222336,2018-04-04 19:57:56,0,1,RT should not wade into the murky swamp of politics Don t make us boycott you Dwayne,0.0,TheRock,celebrity
981621868527570944,2018-04-04 19:57:45,1,0,I would never ask but she might and who can say no to that face,0.0,TheRock,celebrity
981621845182107649,2018-04-04 19:57:40,0,0,I m not saying you re I m just saying I ve never seen the two of you in the same room,0.0,TheRock,celebrity
981621842204086272,2018-04-04 19:57:39,0,7,RT Dwayne Johnson is busting the stigma surrounding mental health in men Took me a long time to realize i,-0.07500000000000001,TheRock,celebrity
981621837716180992,2018-04-04 19:57:38,0,60,RT Anyone who saw with and wants to help protect Mountain Gorillas Adopt a Gorilla from,0.2,TheRock,celebrity
981621802051960832,2018-04-04 19:57:29,0,609,RT s new movie has a big gorilla but this little gorilla can do a lot to save real gorillas Get yours at https,0.03721590909090909,TheRock,celebrity
981621782678355968,2018-04-04 19:57:25,1,0,I love to see when people give back That was really nice of you to get that for your dad generosity Genuine TheBest,0.375,TheRock,celebrity
981621780367511553,2018-04-04 19:57:24,0,609,RT s new movie has a big gorilla but this little gorilla can do a lot to save real gorillas Get yours at https,0.03721590909090909,TheRock,celebrity
